Name	Itemtype	Piece	x	y	z               
ink_5.1	TRAIN	8	0.2401	0.1658	0.5941
ink_5.1	TRAIN	9	0.2438	0.1727	0.5835
ink_5.1	TRAIN	10	0.2495	0.1835	0.5671
ink_1	TEST	1	0.2423	0.2016	0.5561
ink_1	TEST	2	0.2463	0.2013	0.5524
ink_1	TEST	3	0.2392	0.1977	0.5631
ink_1	TEST	4	0.2428	0.2065	0.5507
ink_1	TEST	5	0.2549	0.2152	0.5299
ink_1	TEST	6	0.2558	0.2184	0.5258
ink_1	TEST	7	0.2477	0.2099	0.5424
ink_1	TEST	8	0.2526	0.2135	0.5339
ink_1	TEST	9	0.2468	0.2037	0.5495
ink_1	TEST	10	0.2509	0.2145	0.5346
ink_5	TEST	1	0.2785	0.2047	0.5168
ink_5	TEST	2	0.282	0.2053	0.5127
ink_5	TEST	3	0.2866	0.2177	0.4957
ink_5	TEST	4	0.2745	0.2048	0.5207
ink_5	TEST	5	0.2806	0.213	0.5064
ink_5	TEST	6	0.2858	0.2079	0.5063
ink_5	TEST	7	0.2713	0.1959	0.5328
ink_5	TEST	8	0.2899	0.2172	0.4929
ink_5	TEST	9	0.2688	0.1967	0.5345
ink_5	TEST	10	0.2913	0.2227	0.486
ink_2	TEST	1	0.2587	0.2033	0.538
ink_2	TEST	2	0.2514	0.2054	0.5433
ink_2	TEST	3	0.2639	0.2091	0.527
ink_2	TEST	4	0.262	0.2149	0.5232
ink_2	TEST	5	0.2627	0.2063	0.531
ink_2	TEST	6	0.259	0.202	0.539
ink_2	TEST	7	0.2484	0.1985	0.5531
ink_2	TEST	8	0.2637	0.212	0.5243
ink_2	TEST	9	0.2453	0.1923	0.5624
ink_2	TEST	10	0.2645	0.2126	0.5229
ink_4	TEST	1	0.2681	0.2166	0.5153
ink_4	TEST	2	0.2674	0.219	0.5137
ink_4	TEST	3	0.2672	0.2168	0.516
ink_4	TEST	4	0.2611	0.2113	0.5277
ink_4	TEST	5	0.2671	0.2145	0.5184
ink_4	TEST	6	0.2626	0.2192	0.5182
ink_4	TEST	7	0.2694	0.2196	0.511
ink_4	TEST	8	0.2693	0.227	0.5038
ink_4	TEST	9	0.2689	0.2208	0.5103
ink_4	TEST	10	0.2618	0.2142	0.5241
ink_3	TEST	1	0.2688	0.2022	0.529
ink_3	TEST	2	0.2644	0.2031	0.5326
ink_3	TEST	3	0.2753	0.2114	0.5133
ink_3	TEST	4	0.2557	0.1815	0.5628
ink_3	TEST	5	0.2597	0.1946	0.5456
ink_3	TEST	6	0.257	0.1871	0.5559
ink_3	TEST	7	0.2736	0.2043	0.522
ink_3	TEST	8	0.2597	0.1911	0.5492
ink_3	TEST	9	0.2609	0.1928	0.5463
ink_3	TEST	10	0.2605	0.1899	0.5496
